id,tweet_text,tweet_sentiment,likes,retweets,article_text,topic_predicted,patient_post,primary_emotion,google_search_index,month,youtube_comment,comment_sentiment,video_likes,video_views
30,New treatment options bring hope to many women.,positive,191,157,Survivor stories encourage thousands of women to undergo screening.,research & funding,Breast cancer awareness saves lives. Early detection matters!,sadness,77,Oct,Very informative explanation of mammograms.,neutral,9792,83235
31,October is Breast Cancer Awareness Month. Spread positivity!,positive,313,147,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Research funding for breast cancer is essential.,joy,79,May,Important topic; more people should watch this.,positive,1186,46374
32,Research funding for breast cancer is essential.,negative,38,5,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,I just had a mammogram today. Hoping for the best.,anger,22,Nov,Thanks for spreading awareness.,neutral,7894,125350
33,Research funding for breast cancer is essential.,negative,116,31,Research funding continues to support breakthroughs in oncology.,survivor stories,"Hospital experiences vary, but timely care remains a critical factor.",anger,64,Jan,Important topic; more people should watch this.,positive,5464,184228
34,Research funding for breast cancer is essential.,negative,345,117,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,Research funding continues to support breakthroughs in oncology.,fear,20,Nov,Thanks for spreading awareness.,negative,4949,153686
35,My mom is a breast cancer survivor. Stay strong everyone!,negative,292,139,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,sadness,24,Apr,Very informative explanation of mammograms.,positive,5478,115937
36,Research funding for breast cancer is essential.,negative,38,178,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,fear,83,Mar,Very informative explanation of mammograms.,neutral,7796,56892
37,My mom is a breast cancer survivor. Stay strong everyone!,negative,13,195,Mammograms and clinical breast exams are primary tools for early detection.,treatment discussions,Survivor stories encourage thousands of women to undergo screening.,fear,58,Jan,Important topic; more people should watch this.,negative,8043,160089
38,October is Breast Cancer Awareness Month. Spread positivity!,neutral,235,84,Research funding continues to support breakthroughs in oncology.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,fear,45,Jan,Such a powerful survivor story!,positive,2463,95354
39,Breast cancer awareness saves lives. Early detection matters!,neutral,178,166,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Recent advancements in treatment have significantly improved recovery rates.,anger,31,Feb,Such a powerful survivor story!,negative,3881,93183
40,New treatment options bring hope to many women.,neutral,157,17,Recent advancements in treatment have significantly improved recovery rates.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",fear,94,May,This video changed my perspective on breast cancer.,positive,6084,43772
41,New treatment options bring hope to many women.,positive,44,106,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,New treatment options bring hope to many women.,sadness,95,Jan,This video changed my perspective on breast cancer.,positive,6353,12405
42,Breast cancer awareness saves lives. Early detection matters!,positive,435,48,Recent advancements in treatment have significantly improved recovery rates.,treatment discussions,Recent advancements in treatment have significantly improved recovery rates.,fear,78,Apr,Important topic; more people should watch this.,positive,2998,120979
43,Feeling scared about my screening results.,neutral,370,127,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Survivor stories encourage thousands of women to undergo screening.,fear,85,Apr,Thanks for spreading awareness.,neutral,8383,18035
44,New treatment options bring hope to many women.,neutral,154,21,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Survivor stories encourage thousands of women to undergo screening.,anger,69,Oct,Such a powerful survivor story!,positive,4643,170055
45,New treatment options bring hope to many women.,positive,421,66,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,Mammograms and clinical breast exams are primary tools for early detection.,fear,72,Jun,This video changed my perspective on breast cancer.,positive,9488,31353
46,My mom is a breast cancer survivor. Stay strong everyone!,positive,230,142,Research funding continues to support breakthroughs in oncology.,awareness campaign,Research funding for breast cancer is essential.,trust,99,Nov,I cried watching this. So moving.,positive,5048,178358
47,Breast cancer awareness saves lives. Early detection matters!,neutral,351,161,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,treatment discussions,Mammograms and clinical breast exams are primary tools for early detection.,fear,23,Apr,Important topic; more people should watch this.,negative,3862,95847
48,My mom is a breast cancer survivor. Stay strong everyone!,positive,243,163,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,Research funding for breast cancer is essential.,joy,63,Jan,This video changed my perspective on breast cancer.,negative,7861,11195
49,Breast cancer awareness saves lives. Early detection matters!,negative,56,164,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,fear,70,Jun,Very informative explanation of mammograms.,positive,5053,136429
50,Research funding for breast cancer is essential.,negative,155,34,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,sadness,96,Mar,This video changed my perspective on breast cancer.,negative,6064,141644
51,October is Breast Cancer Awareness Month. Spread positivity!,neutral,495,141,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,I just had a mammogram today. Hoping for the best.,joy,78,Oct,This video changed my perspective on breast cancer.,neutral,9772,89310
52,I just had a mammogram today. Hoping for the best.,positive,217,25,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Recent advancements in treatment have significantly improved recovery rates.,sadness,85,Jun,Important topic; more people should watch this.,negative,9851,101452
53,Feeling scared about my screening results.,negative,35,66,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Mammograms and clinical breast exams are primary tools for early detection.,joy,63,Feb,This video changed my perspective on breast cancer.,positive,3799,72077
54,I just had a mammogram today. Hoping for the best.,negative,294,30,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,I just had a mammogram today. Hoping for the best.,sadness,41,Jun,Such a powerful survivor story!,positive,2505,17178
55,I just had a mammogram today. Hoping for the best.,positive,263,121,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Breast cancer awareness saves lives. Early detection matters!,sadness,73,Oct,I cried watching this. So moving.,negative,4099,60275
56,New treatment options bring hope to many women.,positive,431,84,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,New treatment options bring hope to many women.,anticipation,35,Jul,Very informative explanation of mammograms.,neutral,4394,80263
57,Feeling scared about my screening results.,neutral,313,21,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,trust,85,Jun,Such a powerful survivor story!,positive,5964,56539
58,My mom is a breast cancer survivor. Stay strong everyone!,neutral,487,15,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,"Hospital experiences vary, but timely care remains a critical factor.",joy,58,Nov,Very informative explanation of mammograms.,neutral,6345,156909
59,Research funding for breast cancer is essential.,positive,365,60,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,treatment discussions,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,53,Oct,Thanks for spreading awareness.,negative,3313,179341
60,My mom is a breast cancer survivor. Stay strong everyone!,negative,175,66,Recent advancements in treatment have significantly improved recovery rates.,treatment discussions,Mammograms and clinical breast exams are primary tools for early detection.,anticipation,84,Sep,Thanks for spreading awareness.,positive,7294,106692
61,My mom is a breast cancer survivor. Stay strong everyone!,negative,443,166,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,New treatment options bring hope to many women.,anticipation,38,Jan,Important topic; more people should watch this.,negative,1633,68095
62,My mom is a breast cancer survivor. Stay strong everyone!,negative,332,59,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",anticipation,44,Jul,Important topic; more people should watch this.,positive,6479,61479
63,New treatment options bring hope to many women.,positive,250,95,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Research funding for breast cancer is essential.,fear,97,May,This video changed my perspective on breast cancer.,positive,3318,189498
64,New treatment options bring hope to many women.,positive,141,151,Research funding continues to support breakthroughs in oncology.,treatment discussions,New treatment options bring hope to many women.,fear,83,May,Important topic; more people should watch this.,positive,1793,177935
65,My mom is a breast cancer survivor. Stay strong everyone!,neutral,233,178,Survivor stories encourage thousands of women to undergo screening.,research & funding,My mom is a breast cancer survivor. Stay strong everyone!,fear,94,Jan,I cried watching this. So moving.,positive,842,113654
66,October is Breast Cancer Awareness Month. Spread positivity!,negative,2,142,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Recent advancements in treatment have significantly improved recovery rates.,fear,68,May,I cried watching this. So moving.,positive,9795,6051
67,Breast cancer awareness saves lives. Early detection matters!,negative,431,153,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,New treatment options bring hope to many women.,trust,80,Mar,Very informative explanation of mammograms.,negative,7509,102247
68,Research funding for breast cancer is essential.,negative,298,152,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Recent advancements in treatment have significantly improved recovery rates.,anticipation,74,Jul,This video changed my perspective on breast cancer.,negative,4670,99058
69,I just had a mammogram today. Hoping for the best.,negative,281,90,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Survivor stories encourage thousands of women to undergo screening.,fear,61,Nov,Very informative explanation of mammograms.,positive,8590,45251
70,I just had a mammogram today. Hoping for the best.,neutral,459,193,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,Research funding for breast cancer is essential.,trust,27,Feb,Such a powerful survivor story!,neutral,2048,130587
71,I just had a mammogram today. Hoping for the best.,negative,185,43,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,New treatment options bring hope to many women.,trust,45,May,Very informative explanation of mammograms.,negative,6300,55594
72,Breast cancer awareness saves lives. Early detection matters!,negative,372,92,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,New treatment options bring hope to many women.,trust,47,Dec,Important topic; more people should watch this.,positive,6712,66184
73,New treatment options bring hope to many women.,negative,315,179,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,My mom is a breast cancer survivor. Stay strong everyone!,fear,39,Mar,Thanks for spreading awareness.,negative,2874,112036
74,Feeling scared about my screening results.,positive,486,8,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Recent advancements in treatment have significantly improved recovery rates.,anger,87,Jun,Such a powerful survivor story!,negative,4449,92794
75,My mom is a breast cancer survivor. Stay strong everyone!,neutral,130,144,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,Survivor stories encourage thousands of women to undergo screening.,fear,73,Aug,Thanks for spreading awareness.,positive,5784,122025
76,Feeling scared about my screening results.,neutral,388,105,Research funding continues to support breakthroughs in oncology.,awareness campaign,New treatment options bring hope to many women.,anticipation,28,Apr,Thanks for spreading awareness.,negative,1885,150312
77,My mom is a breast cancer survivor. Stay strong everyone!,negative,124,158,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,sadness,28,Jan,I cried watching this. So moving.,negative,3016,21496
78,I just had a mammogram today. Hoping for the best.,negative,307,59,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Feeling scared about my screening results.,trust,28,Oct,Such a powerful survivor story!,negative,9658,108019
79,New treatment options bring hope to many women.,negative,490,53,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Recent advancements in treatment have significantly improved recovery rates.,fear,26,Jun,Very informative explanation of mammograms.,neutral,4096,159295
80,My mom is a breast cancer survivor. Stay strong everyone!,neutral,3,95,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Survivor stories encourage thousands of women to undergo screening.,sadness,25,Nov,Very informative explanation of mammograms.,positive,5866,111886
81,Feeling scared about my screening results.,positive,361,10,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,Recent advancements in treatment have significantly improved recovery rates.,anticipation,70,Jun,Such a powerful survivor story!,neutral,9672,144134
82,My mom is a breast cancer survivor. Stay strong everyone!,neutral,44,157,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,Breast cancer awareness saves lives. Early detection matters!,trust,78,Oct,Thanks for spreading awareness.,positive,2263,62566
83,I just had a mammogram today. Hoping for the best.,negative,389,125,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,"Hospital experiences vary, but timely care remains a critical factor.",joy,51,Mar,Important topic; more people should watch this.,neutral,3145,135261
84,My mom is a breast cancer survivor. Stay strong everyone!,positive,389,92,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,My mom is a breast cancer survivor. Stay strong everyone!,sadness,32,Jul,Thanks for spreading awareness.,positive,4545,193005
85,Research funding for breast cancer is essential.,positive,324,20,Recent advancements in treatment have significantly improved recovery rates.,research & funding,I just had a mammogram today. Hoping for the best.,anticipation,48,Aug,Thanks for spreading awareness.,negative,2579,15057
86,New treatment options bring hope to many women.,negative,38,32,Research funding continues to support breakthroughs in oncology.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,33,Aug,This video changed my perspective on breast cancer.,positive,5470,187697
87,Research funding for breast cancer is essential.,positive,166,98,Research funding continues to support breakthroughs in oncology.,research & funding,Research funding continues to support breakthroughs in oncology.,trust,87,May,Very informative explanation of mammograms.,negative,6312,33999
88,Breast cancer awareness saves lives. Early detection matters!,positive,297,166,Research funding continues to support breakthroughs in oncology.,hospital experience,Research funding continues to support breakthroughs in oncology.,anticipation,51,Nov,Such a powerful survivor story!,negative,8928,170855
89,Feeling scared about my screening results.,positive,443,39,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,October is Breast Cancer Awareness Month. Spread positivity!,trust,23,Dec,Thanks for spreading awareness.,neutral,7909,124018
90,I just had a mammogram today. Hoping for the best.,neutral,325,8,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,Research funding for breast cancer is essential.,anticipation,66,Jun,Such a powerful survivor story!,neutral,951,130869
91,Research funding for breast cancer is essential.,positive,298,0,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,hospital experience,New treatment options bring hope to many women.,anger,92,Feb,Such a powerful survivor story!,neutral,1671,173780
92,Feeling scared about my screening results.,positive,428,130,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,New treatment options bring hope to many women.,fear,70,Dec,I cried watching this. So moving.,negative,6274,87119
93,Breast cancer awareness saves lives. Early detection matters!,positive,28,34,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Research funding continues to support breakthroughs in oncology.,joy,89,Mar,I cried watching this. So moving.,negative,5301,85883
94,Feeling scared about my screening results.,negative,52,164,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Feeling scared about my screening results.,anticipation,78,Jun,Thanks for spreading awareness.,negative,625,141240
95,I just had a mammogram today. Hoping for the best.,positive,485,28,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,joy,22,Oct,This video changed my perspective on breast cancer.,neutral,3584,23229
96,New treatment options bring hope to many women.,negative,354,53,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,fear,42,Apr,This video changed my perspective on breast cancer.,positive,9089,11730
97,My mom is a breast cancer survivor. Stay strong everyone!,positive,187,133,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,sadness,55,Jul,Thanks for spreading awareness.,neutral,8908,157525
98,October is Breast Cancer Awareness Month. Spread positivity!,positive,87,71,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Breast cancer awareness saves lives. Early detection matters!,trust,43,Feb,I cried watching this. So moving.,negative,8141,37613
99,October is Breast Cancer Awareness Month. Spread positivity!,positive,326,33,Recent advancements in treatment have significantly improved recovery rates.,research & funding,Research funding continues to support breakthroughs in oncology.,trust,57,Jun,Very informative explanation of mammograms.,neutral,243,148644
100,New treatment options bring hope to many women.,negative,57,82,Survivor stories encourage thousands of women to undergo screening.,survivor stories,October is Breast Cancer Awareness Month. Spread positivity!,fear,32,Mar,Thanks for spreading awareness.,neutral,116,100557
101,New treatment options bring hope to many women.,neutral,396,31,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Breast cancer awareness saves lives. Early detection matters!,sadness,56,Sep,This video changed my perspective on breast cancer.,negative,7187,141520
102,Research funding for breast cancer is essential.,negative,128,43,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Breast cancer awareness saves lives. Early detection matters!,sadness,36,May,I cried watching this. So moving.,positive,4454,96788
103,Research funding for breast cancer is essential.,negative,483,175,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,New treatment options bring hope to many women.,trust,53,Oct,This video changed my perspective on breast cancer.,positive,3319,197152
104,New treatment options bring hope to many women.,positive,168,23,Survivor stories encourage thousands of women to undergo screening.,research & funding,I just had a mammogram today. Hoping for the best.,fear,40,Jan,Important topic; more people should watch this.,negative,9784,151883
105,New treatment options bring hope to many women.,negative,484,7,Recent advancements in treatment have significantly improved recovery rates.,treatment discussions,New treatment options bring hope to many women.,sadness,91,Nov,This video changed my perspective on breast cancer.,neutral,4681,21008
106,October is Breast Cancer Awareness Month. Spread positivity!,neutral,371,16,Survivor stories encourage thousands of women to undergo screening.,hospital experience,My mom is a breast cancer survivor. Stay strong everyone!,sadness,65,Apr,Thanks for spreading awareness.,negative,8278,57345
107,I just had a mammogram today. Hoping for the best.,neutral,16,106,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,sadness,67,May,I cried watching this. So moving.,positive,9064,171935
108,My mom is a breast cancer survivor. Stay strong everyone!,neutral,4,136,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,Mammograms and clinical breast exams are primary tools for early detection.,fear,22,Sep,Such a powerful survivor story!,positive,9856,37458
109,I just had a mammogram today. Hoping for the best.,negative,488,17,Research funding continues to support breakthroughs in oncology.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,anticipation,37,May,Thanks for spreading awareness.,positive,323,111080
110,Feeling scared about my screening results.,negative,381,1,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,75,Dec,This video changed my perspective on breast cancer.,positive,5044,129794
111,Feeling scared about my screening results.,negative,467,106,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,joy,56,Dec,This video changed my perspective on breast cancer.,positive,5548,159319
112,I just had a mammogram today. Hoping for the best.,positive,342,112,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,trust,52,Jan,Thanks for spreading awareness.,neutral,9558,163710
113,New treatment options bring hope to many women.,positive,74,176,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,Breast cancer awareness saves lives. Early detection matters!,trust,88,Aug,This video changed my perspective on breast cancer.,positive,5003,151632
114,Research funding for breast cancer is essential.,negative,170,69,Research funding continues to support breakthroughs in oncology.,awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,anticipation,95,May,I cried watching this. So moving.,positive,7633,155364
115,My mom is a breast cancer survivor. Stay strong everyone!,neutral,342,164,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,I just had a mammogram today. Hoping for the best.,sadness,54,Nov,Important topic; more people should watch this.,positive,2429,137468
116,Feeling scared about my screening results.,negative,109,93,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,Feeling scared about my screening results.,trust,82,Sep,This video changed my perspective on breast cancer.,neutral,3806,130607
117,Breast cancer awareness saves lives. Early detection matters!,negative,213,122,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,I just had a mammogram today. Hoping for the best.,anger,68,Sep,Such a powerful survivor story!,negative,4397,103771
118,Breast cancer awareness saves lives. Early detection matters!,neutral,52,143,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Mammograms and clinical breast exams are primary tools for early detection.,anger,78,May,Important topic; more people should watch this.,negative,4430,76103
119,Research funding for breast cancer is essential.,neutral,175,173,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Breast cancer awareness saves lives. Early detection matters!,trust,26,Dec,Such a powerful survivor story!,neutral,9285,109107
120,New treatment options bring hope to many women.,neutral,352,116,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,Survivor stories encourage thousands of women to undergo screening.,trust,79,Dec,Such a powerful survivor story!,negative,2013,14597
121,Research funding for breast cancer is essential.,positive,393,0,Research funding continues to support breakthroughs in oncology.,hospital experience,Research funding for breast cancer is essential.,sadness,49,Oct,Thanks for spreading awareness.,neutral,8375,101397
122,Research funding for breast cancer is essential.,positive,460,183,Recent advancements in treatment have significantly improved recovery rates.,research & funding,Mammograms and clinical breast exams are primary tools for early detection.,trust,78,Mar,Thanks for spreading awareness.,negative,1084,181159
